#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
1:EquityOption,ScriptedTrade,1,1,2023-11-07,OptionFlow,154625.0465,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9905741858,153167.5795399127,1.0000000000,153167.5795399127,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3:EquityAccumulator,ScriptedTrade,1,0,2024-08-09,Unspecified,103942.6332,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9628447341,100080.6169802139,1.0000000000,100080.6169802139,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3:EquityAccumulator,ScriptedTrade,2,0,2025-08-09,Unspecified,150626.8397,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9333668244,140590.0950561827,1.0000000000,140590.0950561827,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3:EquityAccumulator,ScriptedTrade,3,0,2026-08-09,Unspecified,132354.5102,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9080388201,120183.0333150307,1.0000000000,120183.0333150307,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3:EquityAccumulator,ScriptedTrade,4,0,2027-08-09,Unspecified,134054.1893,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8842898521,118542.7591954593,1.0000000000,118542.7591954593,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3:EquityAccumulator,ScriptedTrade,5,0,2028-08-09,Unspecified,129314.0081,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8602900021,111247.5483276291,1.0000000000,111247.5483276291,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,1,0,2024-01-22,Cashflow,61124.6403,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9826453148,60063.8414215436,1.0000000000,60063.8414215436,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,2,0,2024-01-29,Cashflow,61162.6521,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9819173285,60056.6679728057,1.0000000000,60056.6679728057,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,3,0,2024-02-05,Cashflow,61206.8792,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9811898816,60055.5705868083,1.0000000000,60055.5705868083,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,4,0,2024-02-12,Cashflow,61225.3600,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9804636829,60029.2419300651,1.0000000000,60029.2419300651,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,5,0,2024-02-20,Cashflow,61286.3889,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9796354795,60038.3209846801,1.0000000000,60038.3209846801,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,6,0,2024-02-26,Cashflow,61332.3379,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9790147861,60045.2656199237,1.0000000000,60045.2656199237,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,7,0,2024-03-04,Cashflow,61368.3348,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9782911407,60036.0982232642,1.0000000000,60036.0982232642,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,8,0,2024-03-11,Cashflow,61412.6801,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9775680303,60035.0726743919,1.0000000000,60035.0726743919,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5:TaRF,ScriptedTrade,9,0,2024-03-18,Cashflow,61470.1218,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9768581701,60047.5906594686,1.0000000000,60047.5906594686,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
